Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 0/100] [Batch 370/938] [D loss: -3.526270] [G loss: -20.039440]
[Epoch 0/100] [Batch 375/938] [D loss: -3.801924] [G loss: -20.183819]
[Epoch 0/100] [Batch 380/938] [D loss: -3.018364] [G loss: -20.111919]
[Epoch 0/100] [Batch 385/938] [D loss: -3.382423] [G loss: -20.293861]
[Epoch 0/100] [Batch 390/938] [D loss: -3.138456] [G loss: -20.013702]
[Epoch 0/100] [Batch 395/938] [D loss: -2.997076] [G loss: -20.189159]
[Epoch 0/100] [Batch 400/938] [D loss: -2.937426] [G loss: -20.307364]
[Epoch 0/100] [Batch 405/938] [D loss: -3.185427] [G loss: -19.896305]
[Epoch 0/100] [Batch 410/938] [D loss: -2.820465] [G loss: -20.012234]
[Epoch 0/100] [Batch 415/938] [D loss: -2.198793] [G loss: -20.372128]
[Epoch 0/100] [Batch 420/938] [D loss: -2.729883] [G loss: -19.867270]
[Epoch 0/100] [Batch 425/938] [D loss: -2.614588] [G loss: -19.966501]
[Epoch 0/100] [Batch 430/938] [D loss: -2.508011] [G loss: -19.967094]
[Epoch 0/100] [Batch 435/938] [D loss: -2.795408] [G loss: -19.793919]
[Epoch 0/100] [Batch 440/938] [D loss: -2.811583] [G loss: -19.531828]
[Epoch 0/100] [Batch 445/938] [D loss: -2.200462] [G loss: -19.917574]
[Epoch 0/100] [Batch 450/938] [D loss: -2.581381] [G loss: -19.517956]
[Epoch 0/100] [Batch 455/938] [D loss: -2.237671] [G loss: -19.816931]
[Epoch 0/100] [Batch 460/938] [D loss: -2.060919] [G loss: -19.889168]
[Epoch 0/100] [Batch 465/938] [D loss: -2.050133] [G loss: -19.682074]
[Epoch 0/100] [Batch 470/938] [D loss: -1.776758] [G loss: -19.608391]
[Epoch 0/100] [Batch 475/938] [D loss: -1.826950] [G loss: -19.626213]
[Epoch 0/100] [Batch 480/938] [D loss: -1.695391] [G loss: -19.444563]
[Epoch 0/100] [Batch 485/938] [D loss: -1.739952] [G loss: -19.625763]
[Epoch 0/100] [Batch 490/938] [D loss: -2.345293] [G loss: -18.798695]
[Epoch 0/100] [Batch 495/938] [D loss: -1.755377] [G loss: -19.294060]
[Epoch 0/100] [Batch 500/938] [D loss: -1.932947] [G loss: -19.113323]
[Epoch 0/100] [Batch 505/938] [D loss: -1.726212] [G loss: -19.121174]
[Epoch 0/100] [Batch 510/938] [D loss: -1.419552] [G loss: -19.316092]
[Epoch 0/100] [Batch 515/938] [D loss: -2.112741] [G loss: -18.805466]
[Epoch 0/100] [Batch 520/938] [D loss: -1.540628] [G loss: -18.787525]
[Epoch 0/100] [Batch 525/938] [D loss: -1.997290] [G loss: -18.467529]
[Epoch 0/100] [Batch 530/938] [D loss: -1.983965] [G loss: -18.444998]
[Epoch 0/100] [Batch 535/938] [D loss: -1.721962] [G loss: -18.575579]
[Epoch 0/100] [Batch 540/938] [D loss: -1.558172] [G loss: -18.673334]
[Epoch 0/100] [Batch 545/938] [D loss: -1.706512] [G loss: -18.222141]
[Epoch 0/100] [Batch 550/938] [D loss: -1.190804] [G loss: -18.531544]
[Epoch 0/100] [Batch 555/938] [D loss: -1.321787] [G loss: -18.414846]
[Epoch 0/100] [Batch 560/938] [D loss: -1.672604] [G loss: -18.227798]
[Epoch 0/100] [Batch 565/938] [D loss: -1.352964] [G loss: -18.185797]
[Epoch 0/100] [Batch 570/938] [D loss: -1.791084] [G loss: -18.058687]
[Epoch 0/100] [Batch 575/938] [D loss: -1.442316] [G loss: -18.024258]
[Epoch 0/100] [Batch 580/938] [D loss: -1.378128] [G loss: -18.073055]
[Epoch 0/100] [Batch 585/938] [D loss: -1.940632] [G loss: -17.825686]
[Epoch 0/100] [Batch 590/938] [D loss: -1.083216] [G loss: -18.157759]
[Epoch 0/100] [Batch 595/938] [D loss: -0.747540] [G loss: -17.845572]
[Epoch 0/100] [Batch 600/938] [D loss: -1.340164] [G loss: -17.898352]
[Epoch 0/100] [Batch 605/938] [D loss: -1.547140] [G loss: -17.633368]
[Epoch 0/100] [Batch 610/938] [D loss: -1.612320] [G loss: -17.474142]
[Epoch 0/100] [Batch 615/938] [D loss: -1.332870] [G loss: -17.612677]
[Epoch 0/100] [Batch 620/938] [D loss: -1.482079] [G loss: -17.529919]
[Epoch 0/100] [Batch 625/938] [D loss: -1.187103] [G loss: -17.277752]
[Epoch 0/100] [Batch 630/938] [D loss: -1.219484] [G loss: -17.543608]
[Epoch 0/100] [Batch 635/938] [D loss: -1.139585] [G loss: -17.381351]
